analysis,model_order,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high
exposure_course,2-gram,(Intercept),1.5853617149811292,0.011981791170578059,132.31425021611722,87.99441412114815,4.952290989034179e-103,1.561550401758158,1.6091730282041004
exposure_course,2-gram,uncertainty_z,0.48862471744931774,0.010422439525924828,46.88199113402483,58.55640535372848,3.897502992713948e-48,0.4677661579599921,0.5094832769386434
exposure_course,2-gram,dependencynonadjacent,0.45651020358561034,0.01198263250477742,38.09765536943588,175.9888282422963,6.298664402070125e-87,0.4328620558897386,0.4801583512814821
exposure_course,2-gram,exposure_block_z,-0.02743249771937781,8.905438002443331e-4,-30.804209418841975,87.99441412114815,6.5162683521445614e-49,-0.02920226795360314,-0.02566272748515248
exposure_course,2-gram,uncertainty_z:dependencynonadjacent,-0.4885350271430765,0.010424183212590518,-46.86554497171682,117.11281070745696,1.019513095831801e-77,-0.5091793679728711,-0.46789068631328184
exposure_course,2-gram,uncertainty_z:exposure_block_z,-0.0036862126728156815,5.407067794609702e-4,-6.817396808840573,58.5564053537285,5.69247432353534e-9,-0.004768335960517612,-0.0026040893851137508
exposure_course,2-gram,dependencynonadjacent:exposure_block_z,-0.025269392657938667,9.337354180505651e-4,-27.062690532501833,175.98882824229634,1.2704728474407607e-64,-0.02711215242430242,-0.023426632891574914
exposure_course,2-gram,uncertainty_z:dependencynonadjacent:exposure_block_z,0.004011512213466567,6.319125559004262e-4,6.348207795539804,117.11281070745699,4.284146040870306e-9,0.0027600551052608543,0.00526296932167228
exposure_course,3-gram,(Intercept),1.6339203639263955,0.01225331031177154,133.34522038152554,87.99441412114815,2.509847257730648e-103,1.6095694629886204,1.6582712648641706
exposure_course,3-gram,uncertainty_z,0.49471437995878975,0.010658423394412336,46.41534321278164,58.55640535372848,6.896476796797829e-48,0.4733835429813459,0.5160452169362336
exposure_course,3-gram,dependencynonadjacent,0.5026124421093523,0.01225628962421235,41.00853174328056,175.9888282422963,5.479350120684468e-92,0.4784242224404943,0.5268006617782103
exposure_course,3-gram,exposure_block_z,-0.085316018710413,0.0010351570471210764,-82.41843008043017,87.99441412114815,4.3294445637061186e-85,-0.08737317763874515,-0.08325885978208085
exposure_course,3-gram,uncertainty_z:dependencynonadjacent,-0.4943541105911634,0.010663757240424286,-46.358342509632585,117.11281070745696,3.417990562832299e-77,-0.5154729104537381,-0.47323531072858877
exposure_course,3-gram,uncertainty_z:exposure_block_z,-0.010178394203255971,6.766810792073931e-4,-15.041641499978217,58.5564053537285,8.932945412274308e-22,-0.011532644569577578,-0.008824143836934365
exposure_course,3-gram,dependencynonadjacent:exposure_block_z,-0.07371911951299849,0.0011394502523154374,-64.69709350030546,175.98882824229634,1.282815366008713e-124,-0.07596786475726018,-0.0714703742687368
exposure_course,3-gram,uncertainty_z:dependencynonadjacent:exposure_block_z,0.009851417985408024,8.774131750582659e-4,11.227798106352603,117.11281070745699,2.6614755184152546e-20,0.00811376465899899,0.011589071311817058
