model_order,contrast,regularity_label_readable,estimate,SE,df,t.ratio,p.value
2-gram,Adjacent - (Non-adjacent),100% regular,-1.0032964491166307,0.0010211418351077442,174,-982.5240868823767,0
2-gram,Adjacent - (Non-adjacent),80% regular,-0.2917699216670221,0.009787085123741344,174,-29.811728208969143,2.8057547528391116e-70
2-gram,Adjacent - (Non-adjacent),60% regular,-0.029096521219656002,0.003220292007864638,174,-9.035367335818028,3.077454396640958e-16
3-gram,Adjacent - (Non-adjacent),100% regular,-1.0148227670699335,0.0020763374266262254,174,-488.75618868889086,6.017501834640577e-275
3-gram,Adjacent - (Non-adjacent),80% regular,-0.30028072741596734,0.010092902872541413,174,-29.75167117013542,3.763451755764575e-70
3-gram,Adjacent - (Non-adjacent),60% regular,-0.03593854986906031,0.004068607709062375,174,-8.833132225800771,1.0779853041157168e-15
