corpus_id,simulation_id,model_order,regularity,regularity_label,regularity_label_readable,dependency,dependency_readable,uncertainty_z,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,early_drop,later_mean_drop,early_minus_later
high_100__adjacent__sim01,1,2-gram,1,high_100,100% regular,adjacent,Adjacent,-1,1.1278359084728489,1.0163974914657032,1.0051879089627085,1.008830663232699,1.0019061281636337,1.0024852862317133,0.9983421888162074,1.0005327622254296,0.9993104906428882,1.0039398443456011,0.11143841700714563,0.0015572058900127639,0.10988121111713287
high_100__adjacent__sim01,1,3-gram,1,high_100,100% regular,adjacent,Adjacent,-1,1.4032807771412554,1.056077142049502,1.0234742691646934,1.031562166665877,1.0152044714863238,1.0043008084311351,1.0110302077896547,1.010007361900952,1.0039091342101387,1.0135213979013518,0.34720363509175334,0.0053194680185187915,0.34188416707323455
high_100__nonadjacent__sim01,1,2-gram,1,high_100,100% regular,nonadjacent,Non-adjacent,-1,2.292774030431873,2.034416613415954,2.015173971874584,2.0239890510172076,2.007500311231233,2.016229258007659,2.01037144262411,1.997113004348928,1.9949310267244489,2.0097853740333256,0.2583574170159193,0.0030789049228285292,0.25527851209309077
high_100__nonadjacent__sim01,1,3-gram,1,high_100,100% regular,nonadjacent,Non-adjacent,-1,2.7784954539557725,2.2045722886225847,2.076209262738044,2.1009880883167593,2.0693443500227957,2.054645103036621,2.040724824250851,2.0174599569699945,2.007690899731207,2.0180560017474147,0.5739231653331878,0.023314535859396246,0.5506086294737915
low_60__adjacent__sim01,1,2-gram,0.6,low_60,60% regular,adjacent,Adjacent,1,2.1473001250138646,2.00966251952482,1.9682274457950983,1.9611149545912936,1.9733110250486716,1.9509495233800265,1.9683999769372804,1.9927203708288408,1.953433065102187,1.970510600016269,0.13763760548904447,0.004893989938568877,0.1327436155504756
low_60__adjacent__sim01,1,3-gram,0.6,low_60,60% regular,adjacent,Adjacent,1,2.493776451526138,2.0700514221012356,2.010575526775373,1.9776403910334932,2.000468273194034,1.9674738524662676,1.9629161246865112,2.0002178811313747,1.9635842739227989,1.974318847285075,0.4237250294249022,0.011966571852020075,0.4117584575728821
low_60__nonadjacent__sim01,1,2-gram,0.6,low_60,60% regular,nonadjacent,Non-adjacent,1,2.285569092971158,2.05678259767969,2.025795425053374,2.0041006830345305,2.010163752265701,2.009501560161178,2.006607142455269,2.0081220965307263,2.008569809767713,1.996722116638248,0.22878649529146822,0.007507560130180224,0.221278935161288
low_60__nonadjacent__sim01,1,3-gram,0.6,low_60,60% regular,nonadjacent,Non-adjacent,1,2.781701778966549,2.2110413092666352,2.104792846483361,2.062129335288843,2.050707981522604,2.0214775945399337,2.066516298642078,2.035213365356304,2.022399493718167,2.0147967549866475,0.5706604696999138,0.02453056928499847,0.5461299004149154
mid_80__adjacent__sim01,1,2-gram,0.8,mid_80,80% regular,adjacent,Adjacent,-2.7755575615628914e-16,1.8931661990748432,1.7874930152434851,1.827024514968418,1.7133721383392275,1.705962411719725,1.7490548287849594,1.70067387615464,1.7061163988648786,1.7271967839326516,1.7381842907357856,0.10567318383135804,0.00616359056346244,0.0995095932678956
mid_80__adjacent__sim01,1,3-gram,0.8,mid_80,80% regular,adjacent,Adjacent,-2.7755575615628914e-16,2.1978625239419807,1.847016296259265,1.8539091751018195,1.7698688554537283,1.7189361738451454,1.752331015188579,1.7127853483976696,1.7047371727328675,1.7426277018133316,1.7397705378771195,0.3508462276827158,0.013405719797768167,0.3374405078849476
