model_order,regularity_label,dependency,exposure_block,mean,sd,n_corpora,se,critical_t,ci95
2-그램,100% 규칙,인접,1,1.1279665526394822,0.0029717152652717787,30,5.425584950906006e-4,2.0452296421327034,0.0011096567167502072
2-그램,100% 규칙,인접,2,1.013448990125382,0.0038385471929199225,30,7.00819628536792e-4,2.0452296421327034,0.0014333370780718773
2-그램,100% 규칙,인접,3,1.0075400887739132,0.0028212311759761746,30,5.150839850063259e-4,2.0452296421327034,0.0010534650343227746
2-그램,100% 규칙,인접,4,1.0061342698308604,0.002973691204364875,30,5.429192505617823e-4,2.0452296421327034,0.0011103945445334294
2-그램,100% 규칙,인접,5,1.004309456840145,0.0025443102891239853,30,4.6452537954856595e-4,2.0452296421327034,9.500610757756717e-4
2-그램,100% 규칙,인접,6,1.0033000808131363,0.002652880548708905,30,4.8434750629818327e-4,2.0452296421327034,9.906018769741008e-4
2-그램,100% 규칙,인접,7,1.0029630696609582,0.00267867019391049,30,4.890560297738376e-4,2.0452296421327034,0.0010002318887571866
2-그램,100% 규칙,인접,8,1.0019807356141965,0.003164965993181631,30,5.778410894007737e-4,2.0452296421327034,0.0011818177244847159
2-그램,100% 규칙,인접,9,1.002234864843213,0.0027000458582870225,30,4.929586742940664e-4,2.0452296421327034,0.0010082136930126653
2-그램,100% 규칙,인접,10,1.0021147395353778,0.0016033429696094119,30,2.927290372907983e-4,2.0452296421327034,5.986981041801102e-4
2-그램,100% 규칙,비인접,1,2.2940547888443823,0.011139030298668452,30,0.0020336993877714065,2.0452296421327034,0.004159382271057212
2-그램,100% 규칙,비인접,2,2.0357004291113188,0.012270795381957173,30,0.002240330476409388,2.0452296421327034,0.004581990298525762
2-그램,100% 규칙,비인접,3,2.0210772682701266,0.01040339853576661,30,0.0018993920175851959,2.0452296421327034,0.0038846928563954835
2-그램,100% 규칙,비인접,4,2.0148216248515523,0.00755362671704863,30,0.0013790972479670756,2.0452296421327034,0.0028205705709258982
2-그램,100% 규칙,비인접,5,2.014792133361437,0.007981318477676145,30,0.0014571827229520056,2.0452296421327034,0.0029802732989850887
2-그램,100% 규칙,비인접,6,2.009456366805179,0.007879904772446392,30,0.001438667198287167,2.0452296421327034,0.0029424047991009217
